route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Auckland To Birkenhead Via Northcote Point,4,,FGL,91012-20160729161628_v43.23,,BIRK
St Heliers To Pt Chevalier Via Hospital And Selwyn Village,3,,NZBML,00707-20160803113210_v43.25,,007
Britomart To Manukau City Via Middlemore Hospital,3,,NZBWP,44702-20160729161628_v43.23,,447
Papatoetoe Intermediate To Middlemore Hospital,3,,NZBWP,02754-20160729161628_v43.23,,027
City Centre To New Lynn V Blockhouse Bay Rd And Green Bay(U),3,,UE,19502-20160803113210_v43.25,,195
Blockhouse Bay To Midtown,3,,NZBML,24801-20160729161628_v43.23,,248
Manukau City Centre To Britomart Express Via Otara & Khyber,3,,NZBWP,48705-20160803113210_v43.25,,487X
Britomart To Glen Innes Via Khyber Pass Rd And Remuera Rd (S,3,,NZBML,62506-20160729161628_v43.23,,625
Valley Rd to Civic Centre,3,,NZBML,26707-20160729161628_v43.23,,267
Pukekohe To Tuakau To Pukekohe,3,,NZBWP,47600-20160803113210_v43.25,,476
Kadimah College & Epsom Schools to Glendowie,3,,NZBML,01654-20160729161628_v43.23,,016
Wairau Valley To Westlake Schools,3,,NZBNS,01857-20160803113210_v43.25,,018
Port Waikato To Pukekohe via Tuakau,3,,NZBWP,05011-20160803113210_v43.25,,50
Glen Innes To Edgewater College,3,,HE,32151-20160803113210_v43.25,,321
Britomart To Mangere Town Centre Flyer,3,,NZBWP,29004-20160729161628_v43.23,,29F
Britomart To Portland Rd,3,,NZBML,70302-20160729161628_v43.23,,703
Britomart Train Station to Swanson Train Station,2,,AM,10206-20160803113210_v43.25,,WEST
Otahuhu To Seaside Park,3,,NZBWP,40902-20160803113210_v43.25,,409
Bucklands Beach To Britomart Express Via Half Moon Bay,3,,HE,55403-20160803113210_v43.25,,554X
New Lynn To Sylvia Park Via Blockhouse Bay Shops,3,,UE,00906-20160729161628_v43.23,,009
Britomart Train Station to Onehunga Train Station,2,,AM,40024-20160729161628_v43.23,,ONE
New Lynn To Patiki Rd Via Rosebank Rd,3,,NZBGW,10201-20160803113210_v43.25,,102
Outer Link Newmarket To CBD Anticlockwise,3,,NZBML,72103-20160729161628_v43.23,,OUT
Civic Centre To Lucerne Rd Via Benson Rd,3,,NZBML,60502-20160729161628_v43.23,,605
Waiheke High School to Oneroa,3,,WBC,22056-20160803113210_v43.25,,220
City Centre To Henderson Via Glen Eden And Rosier Rd,3,,NZBGW,15302-20160803113210_v43.25,,153
Manukau City Centre To Clendon,3,,NZBWP,45402-20160729161628_v43.23,,454
Torbay To Mayoral Dr,3,,NZBNS,83701-20160803113210_v43.25,,837
St Heliers To Pt Chevalier,3,,NZBML,00709-20160803113210_v43.25,,007
Sunnynook To East Coast Bays Schools.,3,,NZBNS,02857-20160729161628_v43.23,,028
Manukau City Centre To Britomart Via Papatoetoe,3,,NZBWP,34801-20160729161628_v43.23,,348
St Heliers To Newmarket Via Mission Bay,3,,NZBML,77101-20160729161628_v43.23,,771
Onehunga To Civic Centre,3,,NZBML,30201-20160803113210_v43.25,,302
Bayswater To Takapuna,3,,RTH,80307-20160729161628_v43.23,,803
Auckland To Stanley Bay,4,,FGL,99312-20160803113210_v43.25,,SBAY
Inner Link Ponsonby To CBD Clockwise,3,,NZBML,79908-20160729161628_v43.23,,INN
Britomart to Pahurehure Via Mahia Rd,3,,NZBWP,47108-20160729161628_v43.23,,471
Papakura To Tuakau To Papakura Via Pukekohe,3,,NZBWP,47608-20160729161628_v43.23,,476
Remuera To Britomart Via Portland Rd,3,,NZBML,70303-20160803113210_v43.25,,703
Long Bay To Mayoral Dr Via Crown Hill,3,,NZBNS,83901-20160729161628_v43.23,,839
Britomart To Otahuhu Flyer Via Mt Wellington,3,,NZBWP,50006-20160729161628_v43.23,,50F
Outer Link Mt Eden To CBD Anticlockwise,3,,NZBML,72105-20160803113210_v43.25,,OUT
Avondale College To Glendene,3,,RTH,01560-20160729161628_v43.23,,015
Bucklands Beach To Panmure Via Vivian Wilson Dr,3,,HE,55215-20160803113210_v43.25,,552
Devonport To Belmont Schools Via Cheltenham,3,,RTH,08351-20160729161628_v43.23,,083
Constellation Station To Long Bay Via Albany,3,,RTH,88706-20160803113210_v43.25,,887
Kingsland Train Station to Swanson Train Station,2,,AM,10144-20160803113210_v43.25,,WEST
Lynfield To Waikowhai Intermediate,3,,NZBML,01955-20160729161628_v43.23,,019
Swanson Train Station to Britomart Train Station,2,,AM,10215-20160729161628_v43.23,,WEST
Glendowie College To Remuera,3,,NZBML,07252-20160803113210_v43.25,,072
Beach Haven To Takapuna Via Hospital,3,,BTL,97603-20160729161628_v43.23,,976
Rutherford College To Henderson,3,,RTH,01454-20160803113210_v43.25,,014
Explore Waiheke Direct From Auckland,4,,EXPNZ,91020-20160729161628_v43.23,,EXPW
Bayswater Wharf To Takapuna Via Milford,3,,RTH,80301-20160803113210_v43.25,,803
Smales Farm To Westgate,3,,RTH,13009-20160729161628_v43.23,,130
Beach Haven Wharf To Takapuna Via Rangatira Rd,3,,BTL,97607-20160803113210_v43.25,,976
Albany Heights To Albany Schools,3,,RTH,06151-20160729161628_v43.23,,061
St Peters School To Lynfield,3,,NZBML,09954-20160729161628_v43.23,,099
One Tree Hill College To Otahuhu,3,,NZBML,06454-20160729161628_v43.23,,064
Britomart Train Station to Swanson Train Station,2,,AM,10026-20160729161628_v43.23,,WEST
Middlemore To Seventh Day Adventist Primary,3,,NZBWP,05155-20160803113210_v43.25,,051
Pakuranga Plaza To Onehunga Via Penrose,3,,HE,35801-20160803113210_v43.25,,358
Beach Haven To Takapuna Via North Shore Hospital,3,,BTL,97503-20160729161628_v43.23,,975
Northcote Intermediate And St Marys Primary To Maritime Tce,3,,BTL,02956-20160803113210_v43.25,,029
Greenhithe To Takapuna Schools,3,,PBC,33151-20160729161628_v43.23,,331
Glen Innes To Pt Chevalier Via Selwyn Village,3,,NZBML,00711-20160803113210_v43.25,,007
Sylvia Park To New Lynn (No Stop On Donavon St By Countdown),3,,UE,00903-20160803113210_v43.25,,009
Civic Centre To Howick Via Pakuranga (S),3,,HE,52502-20160803113210_v43.25,,N50
Silverdale To Whangaparaoa College,3,,BAYES,01761-20160803113210_v43.25,,017
Blockhouse Bay Intermediate To New Lynn,3,,RTH,00852-20160803113210_v43.25,,008
Midtown To Blockhouse Bay Via Sandringham Rd,3,,NZBML,24802-20160803113210_v43.25,,248
Westgate To City Centre via Waimumu Road,3,,RTH,07001-20160729161628_v43.23,,070
Mayoral Dr To Browns Bay Express,3,,NZBNS,86004-20160729161628_v43.23,,86X
